;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Porcion corriente de las obligaciones de arrendamiento financiero;225000000,0;0,0;0,0;0,0;0,0;101000000,0;113000000,0;298000000,0;363000000,0;235000000,0;441000000,0
Deuda corriente de la Division de Finanzas;3225000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros Pasivos Corrientes de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Impuestos sobre la renta actuales por pagar;302000000,0;554000000,0;881000000,0;69000000,0;274000000,0;1485000000,0;808000000,0;0,0;2748000000,0;2905000000,0;523000000,0
Unearned Revenue Current;788000000,0;1099000000,0;1432000000,0;0,0;0,0;2300000000,0;3000000000,0;3800000000,0;4500000000,0;6000000000,0;8600000000,0
Pasivo por impuestos diferidos Corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros pasivos corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total pasivo corriente;19310000000,0;16756000000,0;24183000000,0;34620000000,0;45221000000,0;56834000000,0;64254000000,0;69300000000,0;81814000000,0;89122000000,0;102745000000,0
Deuda a largo plazo;3225000000,0;4000000000,0;4026000000,0;4062000000,0;4685000000,0;15319000000,0;15440000000,0;15312000000,0;14862000000,0;12000000000,0;49085000000,0
Arrendamientos de capitales;0,0;0,0;0,0;0,0;685000000,0;11146000000,0;11389000000,0;12501000000,0;12460000000,0;1442000000,0;2059000000,0
Deuda No Corriente de la Division de Finanzas;3225000000,0;4000000000,0;4026000000,0;4062000000,0;4685000000,0;15319000000,0;15440000000,0;15312000000,0;14862000000,0;12000000000,0;49085000000,0
Otro Pasivo No Corriente de la Division de Finanzas;1822000000,0;2665000000,0;3059000000,0;3545000000,0;2534000000,0;2269000000,0;2205000000,0;2247000000,0;1616000000,0;4694000000,0;8449000000,0
Ingresos no devengados no corrientes;151000000,0;202000000,0;340000000,0;396000000,0;358000000,0;481000000,0;535000000,0;599000000,0;911000000,0;0,0;0,0
Pension y otros beneficios posteriores a la jubilacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuesto diferido no corriente;189000000,0;226000000,0;0,0;527000000,0;980000000,0;2477000000,0;3973000000,0;3973000000,0;0,0;0,0;0,0
Otro pasivo no corrientes;1822000000,0;2665000000,0;3059000000,0;3545000000,0;2534000000,0;2269000000,0;2205000000,0;2247000000,0;1616000000,0;4694000000,0;8449000000,0
Pasivo Total;27130000000,0;28461000000,0;44793000000,0;55164000000,0;74467000000,0;97072000000,0;107633000000,0;109120000000,0;119013000000,0;125172000000,0;180016000000,0
Acciones preferentes reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes no reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes convertibles;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total preferentes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones comunes;687000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prima de suscripcion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio no distribuido;89223000000,0;105131000000,0;113247000000,0;134885000000,0;152122000000,0;163401000000,0;191484000000,0;195563000000,0;211247000000,0;245084000000,0;324055000000,0
Autocartera;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Resultado integral y otros;-1874000000,0;-2402000000,0;-992000000,0;-2306000000,0;-1232000000,0;633000000,0;-1623000000,0;-7603000000,0;-4402000000,0;-4800000000,0;-1916000000,0
Patrimonio neto comun total;120331000000,0;139036000000,0;152502000000,0;177628000000,0;201442000000,0;222544000000,0;251635000000,0;256144000000,0;283379000000,0;325084000000,0;415265000000,0
Intereses minoritario;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fondos propios totales;120331000000,0;139036000000,0;152502000000,0;177628000000,0;201442000000,0;222544000000,0;251635000000,0;256144000000,0;283379000000,0;325084000000,0;415265000000,0
Pasivo total y patrimonio neto;147461000000,0;167497000000,0;197295000000,0;232792000000,0;275909000000,0;319616000000,0;359268000000,0;365264000000,0;402392000000,0;450256000000,0;595281000000,0
Inversiones por metodo de participacion;1600000000,0;1700000000,0;1400000000,0;1300000000,0;1300000000,0;1400000000,0;1500000000,0;1500000000,0;1700000000,0;2000000000,0;0,0
Terrenos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Edificios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Construccion en progreso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;50597000000,0;0,0
Empleados a tiempo completo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio netos;16348000000,0;19478000000,0;12662000000,0;30736000000,0;34343000000,0;40269000000,0;76033000000,0;59972000000,0;73795000000,0;100118000000,0;132170000000,0
Amortizacion de fondos de comercio y activos intangibles;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Depreciacion y amortizacion total;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amortizacion de cargos diferidos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Interes minoritario en las ganancias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
(Ganancia) Perdida por venta de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
(Ganancia) Perdida por venta de inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro de actiovs y costes de reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para perdidas crediticias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
(Ingresos) Perdida en inversiones de capital;-227000000,0;-202000000,0;-156000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Compensacion de stock options;5203000000,0;6703000000,0;7679000000,0;9353000000,0;10794000000,0;12991000000,0;15376000000,0;19362000000,0;22460000000,0;22785000000,0;24953000000,0
Beneficio fiscal de las opciones sobre acciones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
